,L,size_ratio,arg_nodes
0,100000,0.6057894299583417,0.4914933837429111
1,357894,0.2078730099713199,0.8290644868301544
2,615789,0.13974748513422752,0.8810679611650486
3,873684,0.10493089391192256,0.9101902796882164
4,1131578,0.0763196910818156,0.9298857751496676
5,1389473,0.06971760894535062,0.9382302953048651
6,1647368,0.06514388690649925,0.9424685724511251
7,1905263,0.05237949196306517,0.950944690301615
8,2163157,0.05220466426608735,0.9531936651833836
9,2421052,0.04225425176721113,0.9601247885405453
10,2678947,0.040997212929534364,0.9607019736906355
11,2936842,0.040524127841286166,0.9626787123936497
12,3194736,0.03660292303400971,0.9656148148148148
13,3452631,0.029586350581602913,0.970027215783974
14,3710526,0.030964880169140473,0.9691441116150091
15,3968421,0.028951704180276882,0.9712015301343797
16,4226315,0.026416342459775363,0.9733304809783577
17,4484210,0.027833101888134176,0.9724333641822337
18,4742105,0.026753897236438232,0.9741583403555234
19,5000000,0.025442767523775313,0.9751060406611086
