sequence length,msprime,discoal
200.0,0.009059465024620295,0.052514464128762484
22400.0,0.022045064019039273,0.8129272670485079
44600.0,0.01881488785147667,5.9679440120235085
66800.0,0.022249843925237656,20.889727759175003
89000.0,0.020319203846156597,49.35148308495991
111200.0,0.02458164794370532,97.76639658911154
133400.0,0.020593362161889672,157.32762631285004
155600.0,0.026809788076207042,239.44993473100476
177800.0,0.021154685877263546,368.81000083498657
200000.0,0.016468097921460867,484.1124162147753
