sample_size,tool,time
10,msprime,39.99329733848572
10,simbac,1116.0078132629394
50,msprime,46.718636703491214
50,simbac,1762.4206086158752
100,msprime,48.542146825790404
100,simbac,1765.8437954425813
150,msprime,48.3258394241333
150,simbac,2245.2324166297913
200,msprime,62.48676500320435
200,simbac,2171.6343849658965
250,msprime,52.758861780166626
250,simbac,2153.2169166088106
300,msprime,62.373701667785646
300,simbac,1964.5390082836152
350,msprime,50.416675662994386
350,simbac,2379.9910394668577
400,msprime,63.02830085754395
400,simbac,2395.778299713135
450,msprime,60.31600232124329
450,simbac,2416.192210674286
500,msprime,61.63035454750061
500,simbac,2553.293503856659
550,msprime,65.72544493675233
550,simbac,2740.224210500717
600,msprime,59.76998858451843
600,simbac,2326.934872817993
650,msprime,59.29490671157837
650,simbac,2680.2028596878054
700,msprime,59.47821307182312
700,simbac,2335.916674852371
750,msprime,62.57453365325928
750,simbac,2366.759560537338
800,msprime,58.138129997253415
800,simbac,2559.162624168396
850,msprime,53.80078201293945
850,simbac,2545.3905539035795
900,msprime,72.1215383052826
900,simbac,2896.9277616500854
950,msprime,64.56762895584106
950,simbac,3149.176246500015
1000,msprime,71.54956250190735
1000,simbac,2600.437252521515
